rnbqkb1r/2pppppp/5n2/1p6/p2P4/1P6/P1P1PPPP/RNBQKBNR w KQkq - 2 5,-11cp,0
rnbqkb1r/2pppppp/5n2/1p6/p2P4/1PN5/P1P1PPPP/R1BQKBNR b KQkq - 3 5,27cp,0
rnbqkb1r/2pppppp/5n2/1p6/3P4/1pN5/P1P1PPPP/R1BQKBNR w KQkq - 0 6,-51cp,0
rnbqkb1r/2pppppp/5n2/1p6/3P4/1PN5/P3PPPP/R1BQKBNR b KQkq - 0 6,38cp,0
rnbqkb1r/2pppppp/5n2/8/1p1P4/1PN5/P3PPPP/R1BQKBNR w KQkq - 0 7,-49cp,0
rnbqkb1r/2pppppp/5n2/8/Np1P4/1P6/P3PPPP/R1BQKBNR b KQkq - 1 7,38cp,0
rnbqkb1r/2pp1ppp/4pn2/8/Np1P4/1P6/P3PPPP/R1BQKBNR w KQkq - 0 8,-37cp,0
rnbqkb1r/2pp1ppp/4pn2/8/Np1P4/1P3N2/P3PPPP/R1BQKB1R b KQkq - 1 8,37cp,0
rnbqk2r/2pp1ppp/3bpn2/8/Np1P4/1P3N2/P3PPPP/R1BQKB1R w KQkq - 2 9,-39cp,0
rnbqk2r/2pp1ppp/3bpn2/8/Np1P4/PP3N2/4PPPP/R1BQKB1R b KQkq - 0 9,50cp,0
r1bqk2r/2pp1ppp/2nbpn2/8/Np1P4/PP3N2/4PPPP/R1BQKB1R w KQkq - 1 10,-27cp,0
r1bqk2r/2pp1ppp/2nbpn2/8/Np1P4/PP2PN2/5PPP/R1BQKB1R b KQkq - 0 10,40cp,0
r1bq1rk1/2pp1ppp/2nbpn2/8/Np1P4/PP2PN2/5PPP/R1BQKB1R w KQ - 1 11,-47cp,0
r1bq1rk1/2pp1ppp/2nbpn2/8/Np1P4/PP2PN2/1B3PPP/R2QKB1R b KQ - 2 11,44cp,0
r2q1rk1/1bpp1ppp/2nbpn2/8/Np1P4/PP2PN2/1B3PPP/R2QKB1R w KQ - 3 12,-53cp,0
r2q1rk1/1bpp1ppp/2nbpn2/2N5/1p1P4/PP2PN2/1B3PPP/R2QKB1R b KQ - 4 12,61cp,0
r2q1rk1/1bpp1ppp/2n1pn2/2b5/1p1P4/PP2PN2/1B3PPP/R2QKB1R w KQ - 0 13,-68cp,0
r2q1rk1/1bpp1ppp/2n1pn2/2P5/1p6/PP2PN2/1B3PPP/R2QKB1R b KQ - 0 13,46cp,0
r2q1rk1/1bpp1ppp/2n1p3/2P5/1p2n3/PP2PN2/1B3PPP/R2QKB1R w KQ - 1 14,-42cp,0
r2q1rk1/1bpp1ppp/2n1p3/2P5/1P2n3/1P2PN2/1B3PPP/R2QKB1R b KQ - 0 14,88cp,0
r2q1rk1/1bpp1ppp/4p3/2P5/1n2n3/1P2PN2/1B3PPP/R2QKB1R w KQ - 0 15,-71cp,0
r2q1rk1/1bpp1ppp/4p3/2P5/1nB1n3/1P2PN2/1B3PPP/R2QK2R b KQ - 1 15,72cp,0
r2q1rk1/1bpp1ppp/4p3/2n5/1nB5/1P2PN2/1B3PPP/R2QK2R w KQ - 0 16,-73cp,0
R2q1rk1/1bpp1ppp/4p3/2n5/1nB5/1P2PN2/1B3PPP/3QK2R b K - 0 16,75cp,0
q4rk1/1bpp1ppp/4p3/2n5/1nB5/1P2PN2/1B3PPP/3QK2R w K - 0 17,-77cp,0
q4rk1/1bpp1ppp/4p3/2n5/1nBB4/1P2PN2/5PPP/3QK2R b K - 1 17,78cp,0
q4rk1/1bpp1ppp/4p3/8/1nBBn3/1P2PN2/5PPP/3QK2R w K - 2 18,-78cp,0
